L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
475611,4573072,1,38602,35202923,3214983,2809,70379027,18082344,1,18100348,596638,485367,2,533243,485430,18100346,39251,2807,49574413
475885,4393103,1,38959,35198933,3214838,3679,70305208,18049533,1,18085089,596742,468934,1,512376,468671,18085090,39065,3691,49495338
481852,4383438,1,39874,35184137,3227354,3006,70290403,18111373,1,18100004,599240,460728,1,509891,460948,18100006,40302,3013,49579949
478611,4387979,1,39492,35211228,3208683,3357,70297793,18109141,1,18080864,595810,463892,1,508883,463567,18080862,40391,3342,49639463
479321,4938256,2,38845,35200376,3202468,2865,70381404,18139634,2,18084705,595099,516405,3,572296,516761,18081648,39192,2864,49712826
478726,5107147,5,39467,35191009,3203733,3271,70381963,18136677,5,18114731,595556,524197,1,591319,524196,18117789,38754,3271,49699033
475670,5120536,3,39029,35170007,3218329,2837,70378788,18067555,3,18130389,597090,529040,2,595441,529038,18130387,39983,2833,49441058
474451,5114884,5,38173,35177677,3229010,2884,70338548,18077994,5,18094922,599070,528385,3,596845,528379,18094924,40418,2889,49536606
475445,4528190,7,37877,35178090,3220019,17834,70402653,18119054,7,18135022,597106,514731,3,526564,514315,18135021,40062,17877,49517038
479687,4390417,4,38569,35196750,3179936,2987,70334458,17634865,4,18104993,591057,464440,2,510495,464820,18104993,37820,2955,48281024
473643,4861427,2,38309,35246052,3223822,3138,70300277,18083324,2,18099632,598804,496771,2,562250,496385,18099632,40429,3134,49402574
480809,5104746,7,40354,35139436,3205858,3860,70384611,18125537,7,18052297,594773,528336,2,593867,528413,18052296,38503,3871,49610415
472792,5128313,4,37487,35159172,3221945,3125,70348999,18116399,4,18125577,595576,532360,3,598056,532359,18125577,39727,3117,49572285
475630,5106073,1,38675,35189120,3199720,3748,70336226,18099440,1,18058429,592594,532213,1,595335,532554,18058431,38980,3744,49615913
475178,5118179,1,38829,35151627,3216113,3147,70375222,18092031,1,18083108,596365,529087,1,595048,529105,18083108,39732,3140,49514881
480826,5102358,4,39450,35217457,3181258,3372,70301661,18111851,4,18110606,592929,525737,0,593217,525731,18110607,38335,3375,49609709
474963,4630125,5,37821,35182498,3209730,2980,70305715,18095768,5,18120128,596447,487661,2,539192,487672,18118153,39291,2975,49596966
483410,4401992,3,40151,35170227,3230986,3076,70289689,18073104,3,18105101,598335,469404,2,511300,469082,18107076,40553,3076,49462927
482181,4356096,1,39589,35158911,3210727,3455,70262387,18046528,1,18131904,594572,454211,0,503959,454517,18131902,39968,3459,49392549
